FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c9,3170011,POINT (16.372661115566334 48.20814041564195),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c8,3170012,POINT (16.373814104194537 48.20852377341536),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c7,3170013,POINT (16.375867247119505 48.1616088598153),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c6,3170014,POINT (16.366826746406897 48.19105779077106),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c5,3170015,POINT (16.349854430826756 48.19098911992579),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c4,3170016,POINT (16.38560539353086 48.22334962744828),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c3,3170017,POINT (16.302048410796974 48.17572369750045),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c2,3170018,POINT (16.34844260901417 48.18905069872239),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c1,3170019,POINT (16.368056036135858 48.23070165570543),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2c0,3170020,POINT (16.376847762715165 48.194791281396114),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2bf,3170021,POINT (16.338428171062603 48.18709845931119),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2be,3170022,POINT (16.352274964261767 48.202291794977945),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2bd,3170023,POINT (16.32026288829305 48.20533149890844),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2bc,3170024,POINT (16.337406108657554 48.20173706146287),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2bb,3170025,POINT (16.367976729352517 48.22055488416071),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2ba,3170026,POINT (16.369020760979417 48.20501089475463),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b9,3170027,POINT (16.35394938213635 48.19979403922749),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b8,3170028,POINT (16.360615144052804 48.20932100425152),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b7,3170029,POINT (16.415402121578957 48.24254225341554),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b6,3170030,POINT (16.368160732297095 48.190835408768486),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b5,3170031,POINT (16.35374089286315 48.18551254205514),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b4,3170032,POINT (16.407161240242694 48.230081100596166),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b3,3170033,POINT (16.405675421023822 48.166489702845176),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b2,3170034,POINT (16.289664652093403 48.25798812705555),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b1,3170035,POINT (16.349065528164616 48.203250325012476),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2b0,3170036,POINT (16.349054930532315 48.20069678855075),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2af,3170037,POINT (16.349123689812956 48.20224363713744),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2ae,3170038,POINT (16.36702427239852 48.19381702184189),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2ad,3170039,POINT (16.34898963627629 48.20157300637411),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2ac,3170040,POINT (16.445979880343245 48.230449166283606),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2ab,3170041,POINT (16.36783643255504 48.2105738833755),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2aa,3170042,POINT (16.295775865441264 48.202573258214514),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a9,3170043,POINT (16.271508620032456 48.19622698080062),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a8,3170044,POINT (16.320795413457084 48.197926528181625),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a7,3170045,POINT (16.407017626853957 48.3053567381014),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a6,3170046,POINT (16.339136794953472 48.20273276050577),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a5,3170047,POINT (16.50843344173413 48.166697766565875),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a4,3170048,POINT (16.256040723512957 48.20363941194412),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a3,3170049,POINT (16.288817584774687 48.21566190369618),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a2,3170050,POINT (16.25553981159697 48.207214178444474),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a1,3170051,POINT (16.358204561952427 48.20984243166913),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2a0,3170052,POINT (16.378361366984883 48.21128737359799),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-29f,3170053,POINT (16.370744853590665 48.19886703773966),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-29e,3170054,POINT (16.38648580116442 48.240124956545024),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-29d,3170055,POINT (16.34208149366027 48.19628863420808),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-29c,3170056,POINT (16.40431912557165 48.268519097413716),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-29b,3170057,POINT (16.504521853048676 48.22534461418636),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-29a,3170058,POINT (16.420445755700616 48.17001513276885),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-299,3170059,POINT (16.3658298153154 48.199796521403954),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-298,3170060,POINT (16.309898291294196 48.22571480760217),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-297,3170061,POINT (16.383559546154224 48.21439376352329),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-296,3170062,POINT (16.37073947221969 48.20813282812335),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-295,3170063,POINT (16.31268131436879 48.199184536987175),Mobiler Trinkbrunnen mit Sprühnebelfunktion,14,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-294,3169367,POINT (16.349805509661486 48.23241137965968),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-293,3169368,POINT (16.334943978639533 48.22657544591438),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-292,3169369,POINT (16.334775573758886 48.22673013053553),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-291,3169370,POINT (16.342633757619602 48.22079843675031),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-290,3169371,POINT (16.336846679649607 48.22351627653669),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-28f,3169372,POINT (16.442711057024685 48.253182903449655),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-28e,3169373,POINT (16.383550566670532 48.26989789956412),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-28d,3169374,POINT (16.383317977896617 48.26879220069927),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-28c,3169375,POINT (16.28585793847822 48.196447865800245),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-28b,3169376,POINT (16.256147339439803 48.20249597098178),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-28a,3169377,POINT (16.218359319215644 48.21704867957659),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-289,3169378,POINT (16.21775934410458 48.216639552308415),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-288,3169379,POINT (16.276067080818738 48.19634629210856),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-287,3169380,POINT (16.275344731890087 48.19686391940054),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-286,3169381,POINT (16.274204297714462 48.197311422213886),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-285,3169382,POINT (16.38726198467909 48.234091694678455),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-284,3169383,POINT (16.386772717099326 48.2343857156829),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-283,3169384,POINT (16.387036764130617 48.23389407236286),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-282,3169385,POINT (16.381866523756052 48.23969835315723),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-281,3169386,POINT (16.368264660290226 48.24019889096198),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-280,3169387,POINT (16.37805387047742 48.248847317798464),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-27f,3169388,POINT (16.390208583191463 48.235983837741585),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-27e,3169389,POINT (16.37689529879992 48.237098366024235),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-27d,3169390,POINT (16.37864489348565 48.24001215071181),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-27c,3169391,POINT (16.38126863639734 48.24503461819764),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-27b,3169392,POINT (16.3803115219134 48.24453524528495),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-27a,3169393,POINT (16.374148652887765 48.24439861167372),Spielbrunnen,3,
