cidade;ano;pib;mat1517;veiculos;motos;populacao;pop1519;pop2024;pop2529;pop60p;ibge;jovem;pjovem;pmotos;pmat;rodovia
Santa Isabel;2014;1450356,14;85,44;24990;5679;52369;4481;4374;4417;12,23;3546801;13272;25,34323741;22,72509004;0,163149955;42
Santa Isabel;2015;;84,03;25991;5928;52875;4515;4367;4422;12,61;3546801;13304;25,16122931;22,80789504;0,158921986;42
Santa Isabel;2016;;;;;53310;4378;4403;4414;13,01;3546801;13195;24,75145376;;;42
Santa Lúcia;2010;78072,22;75,41;2822;470;8245;718;825;747;9,71;3546900;2290;27,77440873;16,65485471;0,914614918;20
Santa Lúcia;2011;80888,47;80,28;3058;521;8279;728;796;756;9,95;3546900;2280;27,53955792;17,03727927;0,969682329;20
Santa Lúcia;2012;94147,92;79,08;3295;558;8313;736;773;764;10,22;3546900;2273;27,34271623;16,93474962;0,951281126;20
Santa Lúcia;2013;98305,83;63,57;3523;597;8347;745;740;776;10,49;3546900;2261;27,08757637;16,94578484;0,761590991;20
Santa Lúcia;2014;95094,59;63,98;3762;628;8381;754;713;776;10,79;3546900;2243;26,76291612;16,69324827;0,76339339;20
Santa Lúcia;2015;;57,74;3842;658;8415;760;685;785;11,1;3546900;2230;26,50029709;17,12649662;0,686155674;20
Santa Lúcia;2016;;;;;8444;710;697;755;11,52;3546900;2162;25,60397916;;;20
Santa Maria da Serra;2010;89677,86;66,33;2379;260;5406;501;535;518;10,99;3547007;1554;28,74583796;10,92896175;1,226970033;32
Santa Maria da Serra;2011;96561,37;65,51;2617;292;5478;491;542;527;11,12;3547007;1560;28,47754655;11,15781429;1,195874407;32
Santa Maria da Serra;2012;118722,26;62,9;2911;305;5550;484;534;541;11,26;3547007;1559;28,09009009;10,47749914;1,133333333;32
Santa Maria da Serra;2013;135857,65;66,06;3242;325;5624;472;531;554;11,45;3547007;1557;27,68492176;10,02467613;1,174608819;32
Santa Maria da Serra;2014;141125,91;73,53;3363;350;5698;464;529;561;11,58;3547007;1554;27,27272727;10,40737437;1,29045279;32
Santa Maria da Serra;2015;;76,4;3407;342;5774;455;527;564;11,78;3547007;1546;26,77519917;10,03815674;1,323172844;32
Santa Maria da Serra;2016;;;;;5845;452;516;568;11,99;3547007;1536;26,27887083;;;32
Santa Mercedes;2010;41267,44;71,33;864;180;2831;237;233;204;15,61;3547106;674;23,80784175;20,83333333;2,51960438;14
Santa Mercedes;2011;43462,73;70,27;979;195;2828;244;232;208;15,7;3547106;684;24,18670438;19,91828396;2,484794908;14
Santa Mercedes;2012;51743,81;78,08;1122;210;2825;244;231;212;15,89;3547106;687;24,31858407;18,71657754;2,763893805;14
